SALE TYPE,SOLD DATE,PROPERTY.TYPE,ADDRESS,CITY,STATE.OR.PROVINCE,ZIP.OR.POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9050 County Road 519,Alvarado,TX,76009,4999999,3,3,ABST 1 TR 27A V ANDERSON,4171,5227200,2019,17,1199,,Active,,,14393650,N,Y,32.4964837,-97.224054
MLS Listing,,Single Family Residential,8225 Samuels Rd,Terrell,TX,75160,550000,4,3.5,D Harris Abs 199,2492,1219680,1998,16,221,,Active,,,14400061,N,Y,32.7954828,-96.3673013
MLS Listing,,Single Family Residential,12101 Dark Hollow Rd Rd,Rockwall,TX,75087,1850000,5,4.5,Drury Anglin,5301,1038906,1987,11,349,,Active,,,14406676,N,Y,32.991481,-96.434522
MLS Listing,,Condo/Co-op,2606 Shelby Ave #304,Dallas,TX,75219,399000,2,2.5,Shelby Court Oaklawn Condos,2049,35850,2005,3,195,306,Active,,,14388320,N,Y,32.8058106,-96.813957
MLS Listing,,Single Family Residential,9001 County Road 528,Burleson,TX,76028,2500000,4,5.5,LOT 1&2 BLK 1 THE ESTATES AT VILLAGIO,18901,869240,1987,27,132,,Active,,,14392621,N,Y,32.5191503,-97.2440488
MLS Listing,,Single Family Residential,624 Dove Creek Rd,Bartonville,TX,76226,3250000,4,5.5,Tucker Add,6788,800763,1999,46,479,,Active,,,14379119,N,Y,33.0914829,-97.151054
MLS Listing,,Single Family Residential,5101 Kensington Ct,Flower Mound,TX,75022,8900000,7,6.5,Kensington Estate Flower Mound,27075,702797,1997,31,329,,Active,,,14390039,N,Y,33.03402,-97.1104019
MLS Listing,,Single Family Residential,4305 County Road 599,Farmersville,TX,75442,545000,3,2,ABS A015,2103,544500,1999,18,259,,Active,,,14398821,N,Y,33.0947977,-96.3779059
MLS Listing,,Single Family Residential,2636 FM 983,Red Oak,TX,75154,325000,3,3,Crestview Est#2,1416,535788,1981,3,230,,Active,,,14411238,N,Y,32.493603,-96.721633
MLS Listing,,Single Family Residential,1671 W FM 550,McLendon Chisholm,TX,75032,1200000,4,5,"A0175 R PECKHAM, TRACT 16-01, 11.48 ACRES",4957,500069,2005,17,242,,Active,,,14401154,N,Y,32.831281,-96.406547
MLS Listing,,Condo/Co-op,4315 Holland Ave #13,Dallas,TX,75219,425000,2,2.5,Holland Oaks Condo,2022,39945,2003,6,210,349,Active,,,14405974,N,Y,32.8184324,-96.8097039
MLS Listing,,Single Family Residential,730 E Highland Rd,Red Oak,TX,75154,699900,6,5,J Billingsley,3619,481861,1982,10,193,,Active,,,14408183,N,Y,32.506284,-96.884317
